lineage,precision,recall,f1_score,support
AD.2,0.9974545454545456,0.9927272727272727,0.994909090909091,1352
A,0.9333,0.9387000000000001,0.9358000000000001,814
A.1,0.9786999999999999,0.9922000000000001,0.9853,1044
A.11,0.9375,1.0,0.958375,8
A.12,0.75,0.8333333333333334,0.7778333333333333,6
A.15,1.0,1.0,1.0,14
A.16,0.9167,1.0,0.9466999999999999,14
A.19,1.0,1.0,1.0,32
A.2,0.9789999999999999,0.9809999999999999,0.9799,426
A.2.2,0.9690000000000001,0.9571,0.9615,66
A.2.3,1.0,0.93,0.9597999999999999,58
A.2.4,0.9333,0.9800000000000001,0.9465,55
A.2.5,0.9884000000000001,0.9794,0.9838000000000001,779
A.2.5.1,0.9888999999999999,1.0,0.9941000000000001,86
A.2.5.2,0.9937999999999999,0.9649999999999999,0.9783,172
A.2.5.3,1.0,0.9667,0.9800000000000001,55
A.21,0.9382999999999999,0.95,0.9405000000000001,43
A.22,0.85,0.9,0.8667,10
A.23,0.95,1.0,0.9667,14
A.23.1,0.9941000000000001,0.9823000000000001,0.9878,168
A.24,1.0,1.0,1.0,9
A.25,0.95,0.9,0.9167,20
A.26,0.9,1.0,0.9334,5
A.27,1.0,0.95,0.9667,17
A.28,0.9,0.9,0.9,18
A.29,0.9632999999999999,0.9800000000000001,0.9687000000000001,45
A.3,0.9775,0.9583999999999999,0.9640000000000001,122
A.4,1.0,1.0,1.0,18
A.5,0.9944,0.9890999999999999,0.9917,188
A.6,0.95,0.975,0.9571,34
A.7,1.0,1.0,1.0,13
A.9,1.0,0.95,0.9667,13
AA.1,0.8333999999999999,0.85,0.8100999999999999,18
AA.2,0.7834,0.9,0.8267000000000001,21
AA.3,1.0,1.0,1.0,8
AA.4,1.0,1.0,1.0,11
AA.5,1.0,0.9,0.9334,16
AA.6,0.9667,0.85,0.8801,20
AA.7,0.975,0.9667,0.9657,32
AA.8,1.0,1.0,1.0,8
AB.1,0.9667,0.95,0.9467000000000001,18
AC.1,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
AD.1,0.9833000000000001,0.9349999999999999,0.9544,44
AD.2.1,1.0,1.0,1.0,7
AE.1,0.8929,0.925,0.8957,35
AE.2,0.8333333333333334,0.8888888888888888,0.8518888888888889,9
AE.3,1.0,1.0,1.0,11
AE.4,0.75,0.8,0.7666999999999999,11
AE.5,0.8667,0.9,0.8800000000000001,16
AE.6,1.0,1.0,1.0,15
AE.7,1.0,1.0,1.0,10
AE.8,0.991,1.0,0.9954000000000001,209
AF.1,1.0,1.0,1.0,15
AG.1,1.0,1.0,1.0,8
AH.1,1.0,1.0,1.0,5
AH.2,1.0,1.0,1.0,11
AH.3,0.975,0.95,0.9523999999999999,29
AJ.1,1.0,1.0,1.0,9
AK.1,1.0,1.0,1.0,25
AK.2,1.0,1.0,1.0,9
AL.1,1.0,1.0,1.0,10
AM.2,0.8333333333333334,0.8333333333333334,0.8333333333333334,5
AM.4,1.0,1.0,1.0,26
AN.1,1.0,0.95,0.9667,14
AP.1,1.0,0.9734,0.9858,148
AQ.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
AQ.2,1.0,1.0,1.0,9
AS.1,0.975,1.0,0.9856999999999999,28
AS.2,1.0,1.0,1.0,16
AT.1,0.99,0.9777999999999999,0.9829000000000001,92
AU.1,1.0,1.0,1.0,59
AU.2,1.0,1.0,1.0,17
AU.3,1.0,1.0,1.0,27
AV.1,1.0,1.0,1.0,6
AW.1,1.0,0.975,0.9856999999999999,33
AY.1,0.9589000000000001,0.9528000000000001,0.953,86
AY.10,0.9686,0.9826,0.9745999999999999,116
AY.100,0.9162999999999999,0.8778,0.8919,83
AY.101,0.9873,0.9869,0.9869999999999999,539
AY.102,0.9633999999999998,0.9749000000000002,0.9689,440
AY.103,0.9978,0.9978999999999999,0.9975999999999999,9952
AY.104,0.975,0.9795,0.9751999999999998,145
AY.105,0.9291,0.9692000000000001,0.9472999999999999,129
AY.106,0.9599,0.9535,0.9561,389
AY.107,0.9870000000000001,0.9722,0.9791000000000001,218
AY.108,0.9486000000000001,0.8817,0.9098,110
AY.109,0.9960000000000001,0.9871000000000001,0.9914,235
AY.11,0.9937999999999999,1.0,0.9968,150
AY.110,0.9899000000000001,0.9737,0.9815000000000002,490
