lineage,precision,recall,f1_score,support
A.1,0.9967272727272728,0.9894545454545454,0.9930909090909089,2507
A,0.8645999999999999,0.9638,0.9104000000000001,664
A.10,0.7,0.7,0.7,11
A.11,1.0,1.0,1.0,10
A.13,0.9,0.8,0.8333999999999999,14
A.14,0.8,0.8,0.8,5
A.15,0.9856999999999999,0.9833000000000001,0.9832000000000001,61
A.16,1.0,1.0,1.0,48
A.2,0.9686999999999999,0.9879,0.978,1059
A.2.1,0.3,0.35,0.3167,18
A.2.2,0.9977,0.9977,0.9975999999999999,427
A.2.3,0.9949999999999999,0.9946999999999999,0.9947000000000001,189
A.2.4,0.9467000000000001,0.6866000000000001,0.7787999999999999,52
A.3,0.9975999999999999,0.9949,0.9963,793
A.4,1.0,1.0,1.0,54
A.5,0.9904,0.9879000000000001,0.9891000000000002,411
A.6,0.9917,0.9909000000000001,0.9909000000000001,110
A.7,1.0,1.0,1.0,17
A.9,0.3,0.3,0.3,11
B,0.9099999999999999,0.9116,0.9106,3515
B.1,0.9376000000000001,0.8983000000000001,0.9175000000000002,20587
B.1.1,0.8953999999999999,0.785,0.836,7052
B.1.1.1,0.9892,0.9898,0.9895999999999999,5707
B.1.1.10,0.9063000000000001,0.9139999999999999,0.9074,489
B.1.1.100,0.8916999999999999,1.0,0.9200000000000002,17
B.1.1.101,0.8,0.75,0.7666999999999999,15
B.1.1.102,0.5555555555555556,0.5555555555555556,0.5555555555555556,6
B.1.1.103,0.42000000000000004,0.3,0.32870000000000005,17
B.1.1.104,0.7525999999999999,0.71,0.7038,45
B.1.1.105,0.0,0.0,0.0,4
B.1.1.106,0.2,0.2,0.2,12
B.1.1.107,0.9875,0.95,0.9646999999999999,77
B.1.1.109,1.0,1.0,1.0,23
B.1.1.111,0.9099999999999999,1.0,0.9417,26
B.1.1.112,1.0,1.0,1.0,15
B.1.1.113,0.9,0.85,0.8667,23
B.1.1.115,1.0,1.0,1.0,42
B.1.1.116,0.9333,1.0,0.95,11
B.1.1.117,0.8,0.65,0.7001,19
B.1.1.118,1.0,0.9,0.9417,49
B.1.1.12,0.9417,0.9571,0.9446,64
B.1.1.120,1.0,1.0,1.0,29
B.1.1.121,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.1.122,1.0,1.0,1.0,11
B.1.1.123,0.9666,0.9400000000000001,0.9484999999999999,51
B.1.1.125,0.6972,0.7083,0.6798,37
B.1.1.127,0.8823000000000001,0.8,0.7898,58
B.1.1.128,1.0,0.9334,0.96,26
B.1.1.129,0.35,0.25,0.2834,15
B.1.1.13,1.0,1.0,1.0,15
B.1.1.130,0.9382000000000001,0.9292,0.9301999999999999,87
B.1.1.131,0.85,0.9,0.8667,16
B.1.1.132,1.0,1.0,1.0,53
B.1.1.133,0.85,0.7166,0.7333999999999999,32
B.1.1.134,0.9778,0.9571,0.9602,66
B.1.1.135,0.9809000000000001,0.9245000000000001,0.9485999999999999,93
B.1.1.136,1.0,1.0,1.0,36
B.1.1.137,0.9625,0.9856999999999999,0.9722,69
B.1.1.138,0.9867000000000001,1.0,0.9929,129
B.1.1.139,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
B.1.1.14,0.9713999999999998,1.0,0.9846,58
B.1.1.140,0.7983,0.9,0.8094999999999999,21
B.1.1.141,0.9923,0.9148,0.9292,123
