gisaid id,sequence_name,country,travel_history,sample_date,epi_week,lineage
EPI_ISL_426906,Australia/VIC473/2020,Australia,,2020-03-28,13.0,B.1.1
EPI_ISL_426908,Australia/VIC476/2020,Australia,,2020-03-28,13.0,B.1.23
EPI_ISL_413600,Australia/NSW14/2020,Australia,,2020-03-03,10.0,B.4
EPI_ISL_424237,USA/WA-UW-1739/2020,USA,,2020-03-21,12.0,B.1
EPI_ISL_424236,USA/WA-UW-1732/2020,USA,,2020-03-21,12.0,B.1
EPI_ISL_424234,USA/WA-UW-1722/2020,USA,,2020-03-21,12.0,B.1
EPI_ISL_424233,USA/WA-UW-1772/2020,USA,,2020-03-21,12.0,B.1.5
EPI_ISL_424232,USA/WA-UW-1708/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413582,Netherlands/Rotterdam_1363790/2020,Netherlands,,2020-03-01,10.0,B
EPI_ISL_424231,USA/WA-UW-1731/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413584,Netherlands/Rotterdam_1364740/2020,Netherlands,,2020-03-03,10.0,B.1.1
EPI_ISL_413586,Netherlands/Tilburg_1363354/2020,Netherlands,,2020-02-27,9.0,B.11
EPI_ISL_413587,Netherlands/Tilburg_1364286/2020,Netherlands,,2020-03-03,10.0,B.1.1
EPI_ISL_413588,Netherlands/Utrecht_1363564/2020,Netherlands,,2020-03-01,10.0,B.1
EPI_ISL_413589,Netherlands/Utrecht_1363628/2020,Netherlands,,2020-03-01,10.0,B.1
EPI_ISL_424228,USA/WA-UW-1702/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_424226,USA/WA-UW-1705/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_424224,USA/WA-UW-1745/2020,USA,,2020-03-21,12.0,B.2.12
EPI_ISL_424223,USA/WA-UW-1744/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413570,Netherlands/Diemen_1363454/2020,Netherlands,,2020-02-28,9.0,B.1.1
EPI_ISL_413571,Netherlands/Eindhoven_1363782/2020,Netherlands,,2020-03-02,10.0,B.1.1
EPI_ISL_424220,USA/WA-UW-1729/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413572,Netherlands/Haarlem_1363688/2020,Netherlands,,2020-03-01,10.0,B.1
EPI_ISL_413575,Netherlands/Houten_1363498/2020,Netherlands,,2020-02-29,9.0,B.1
EPI_ISL_413578,Netherlands/Nieuwendijk_1363582/2020,Netherlands,,2020-03-01,10.0,B.11
EPI_ISL_413569,Netherlands/Delft_1363424/2020,Netherlands,,2020-02-28,9.0,B.1.1
EPI_ISL_424217,USA/WA-UW-1684/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_426879,Australia/VIC908/2020,Australia,,2020-03-23,13.0,B.1.1
EPI_ISL_424258,USA/WA-UW-1778/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424257,USA/WA-UW-1775/2020,USA,,2020-03-22,13.0,B.1.1
EPI_ISL_424255,USA/UN-UW-1832/2020,USA,,2020-03-16,12.0,B.2.12
EPI_ISL_424253,USA/WA-UW-1792/2020,USA,,2020-03-21,12.0,B.1
EPI_ISL_424252,USA/WA-UW-1840/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424250,USA/WA-UW-1785/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_426881,Australia/VIC912/2020,Australia,,2020-03-24,13.0,B.1.23
EPI_ISL_426882,Australia/VIC913/2020,Australia,,2020-03-24,13.0,B.6
EPI_ISL_426883,Czech_Republic/IAB_1/2020,Czech_Republic,,2020-03-27,13.0,B.1.1
EPI_ISL_426884,Czech_Republic/IAB_4/2020,Czech_Republic,,2020-03-27,13.0,B.1
EPI_ISL_426885,Czech_Republic/IAB_8/2020,Czech_Republic,,2020-03-27,13.0,B.1.1
EPI_ISL_426886,Czech_Republic/IAB_9/2020,Czech_Republic,,2020-03-28,13.0,B.1.1
EPI_ISL_426887,Czech_Republic/IAB_10/2020,Czech_Republic,,2020-03-31,14.0,B.1
EPI_ISL_426888,Czech_Republic/IAB_12/2020,Czech_Republic,,2020-03-31,14.0,B.1
EPI_ISL_426889,Czech_Republic/IAB_14/2020,Czech_Republic,,2020-04-02,14.0,B.1.1
EPI_ISL_424249,USA/UN-UW-1791/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_424247,USA/WA-UW-1760/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413591,Netherlands/Zeewolde_1365080/2020,Netherlands,,2020-03-02,10.0,B.1
EPI_ISL_424244,USA/WA-UW-1770/2020,USA,,2020-03-22,13.0,B.1
EPI_ISL_413594,Australia/NSW08/2020,Australia,,2020-02-28,9.0,B
EPI_ISL_424241,USA/WA-UW-1735/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_413595,Australia/NSW09/2020,Australia,,2020-02-28,9.0,B.4
EPI_ISL_413597,Australia/NSW11/2020,Australia,,2020-03-02,10.0,B.4
EPI_ISL_426890,Czech_Republic/IAB_15/2020,Czech_Republic,,2020-03-26,13.0,B.1.1
EPI_ISL_426894,Czech_Republic/IAB_20/2020,Czech_Republic,,2020-03-27,13.0,B.1.1
EPI_ISL_424279,USA/WA-UW-1850/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424276,USA/WA-UW-1822/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424271,USA/WA-UW-1827/2020,USA,,2020-03-22,13.0,B.1
EPI_ISL_424269,USA/WA-UW-1828/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424265,USA/UN-UW-1834/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424264,USA/WA-UW-1805/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424263,USA/WA-UW-1799/2020,USA,,2020-03-22,13.0,B.1
EPI_ISL_424262,USA/WA-UW-1782/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_424261,USA/WA-UW-1784/2020,USA,,2020-03-21,12.0,A.1
EPI_ISL_424260,USA/WA-UW-1779/2020,USA,,2020-03-22,13.0,B.1
EPI_ISL_424299,USA/WA-UW-1904/2020,USA,,2020-03-23,13.0,B.1
EPI_ISL_424298,USA/WA-UW-1920/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424297,USA/WA-UW-1913/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424296,USA/WA-UW-1919/2020,USA,,2020-03-23,13.0,A.1
